CSI4142 Physical Design and Data Staging - Project Planning,,,,,,
,,,,,,
Deliverable,Team member(s) responsible ,Expected completion date,Actual completion date,Estimate time (hours) to complete,Actual time (hours) to complete,Notes (if any)
Create database instance and tables ,,,,,,
Create Date dimension ,,,,,,
Create Patient dimension ,,,,,,
Create PHU dimension ,,,,,,
Create Mobility dimension,,,,,,
Create Weather dimension ,,,,,,
"Map PHU, Mobility and Weather dimensions",,,,,,
Create Special Measures dimension,,,,,,
Surrogate key pipeline – including role-playing dates,,,,,,
Staging of dimensions,,,,,,
Staging of fact table – including FKs and measures,,,,,,
Data quality handling and reporting ,,,,,,
Others - if any,,,,,,
